################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 8601-9102
# RA Dec (J2000): 16 41 37.3  +40 09 50
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10083.9  
# Integration time [seconds]: 698.6   
# Date(s) of observations (UT): 2017-10-13 
####################################################################################
# ASCII Table
# Generated by D. V. Stark  Thu May 16 21:12:05 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       7633.0853 -0.000652867    -0.615860
       8351.0504   -0.0104317    -0.629128
       8356.1543   -0.0130134    -0.631833
       8361.2584   -0.0139108    -0.632854
       8366.3627   -0.0126302    -0.631697
       8371.4671   -0.0100834    -0.629273
       8376.5717  -0.00898749    -0.628301
       8381.6765  -0.00827971    -0.627717
       8386.7814  -0.00597626    -0.625537
       8391.8865  -0.00604792    -0.625732
       8396.9918  -0.00583889    -0.625647
       8402.0973  -0.00748447    -0.627416
       8407.2029   -0.0107994    -0.630854
       8412.3087  -0.00816618    -0.628344
       8417.4146  -0.00641509    -0.626716
       8422.5208  -0.00836868    -0.628793
       8427.6271  -0.00898931    -0.629536
       8432.7335  -0.00850533    -0.629175
       8437.8402  -0.00894482    -0.629737
       8442.9470  -0.00846218    -0.629376
       8448.0539  -0.00633426    -0.627370
       8453.1611  -0.00750152    -0.628660
       8458.2684  -0.00902194    -0.630302
       8463.3759  -0.00810353    -0.629504
       8468.4835  -0.00680263    -0.628325
       8473.5913  -0.00557748    -0.627220
       8478.6993  -0.00631016    -0.628073
       8483.8075  -0.00603126    -0.627914
       8488.9158  -0.00547368    -0.627477
       8494.0243  -0.00683673    -0.628959
       8499.1330  -0.00666711    -0.628909
       8504.2418  -0.00460708    -0.626967
       8509.3508  -0.00287908    -0.625358
       8514.4600  -0.00378695    -0.626383
       8519.5693  -0.00628734    -0.629001
       8524.6788  -0.00664608    -0.629477
       8529.7885  -0.00439171    -0.627339
       8534.8983  -0.00382287    -0.626887
       8540.0084  -0.00622548    -0.629405
       8545.1186  -0.00758495    -0.630880
       8550.2289  -0.00753084    -0.630941
       8555.3394  -0.00669533    -0.630219
       8560.4501  -0.00527478    -0.628913
       8565.5610  -0.00552176    -0.629273
       8570.6720  -0.00536628    -0.629230
       8575.7832  -0.00336669    -0.627343
       8580.8946  -0.00253322    -0.626621
       8586.0062  -0.00239232    -0.626591
       8591.1179  -0.00311863    -0.627428
       8596.2298  -0.00538130    -0.629801
       8601.3418  -0.00542571    -0.629954
       8606.4540  -0.00308463    -0.627722
       8611.5664 -0.000777654    -0.625523
       8616.6790  0.000154166    -0.624699
       8621.7917 -0.000681081    -0.625641
       8626.9046  -0.00139465    -0.626461
       8632.0177  -0.00163894    -0.626811
       8637.1309  -0.00239213    -0.627669
       8642.2443  -0.00243758    -0.627819
       8647.3579  -0.00176629    -0.627251
       8652.4717  -0.00194873    -0.627537
       8657.5856  -0.00214343    -0.627834
       8662.6997  -0.00138203    -0.627174
       8667.8139  -0.00105395    -0.626947
       8672.9284 -0.000143990    -0.626137
       8678.0429  0.000782840    -0.625310
       8683.1577 -0.000940773    -0.627132
       8688.2727  -0.00205309    -0.628343
       8693.3878  -0.00193077    -0.628318
       8698.5030  -0.00225438    -0.628738
       8703.6185  -0.00172132    -0.628301
       8708.7341 -0.000614950    -0.627289
       8713.8499 -0.000420874    -0.627190
       8718.9658   0.00112886    -0.625733
       8724.0819   0.00290391    -0.624051
       8729.1982  0.000950400    -0.626097
       8734.3147 -0.000672074    -0.627811
       8739.4313 -0.000898316    -0.628127
       8744.5481 -0.000432978    -0.627752
       8749.6651  0.000764466    -0.626643
       8754.7822 -0.000654697    -0.628150
       8759.8996  -0.00359947    -0.631183
       8765.0170  -0.00402985    -0.631699
       8770.1347  -0.00394593    -0.631701
       8775.2525  -0.00433943    -0.632180
       8780.3705  -0.00241459    -0.630339
       8785.4887  0.000629641    -0.627378
       8790.6070   0.00270358    -0.625386
