################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 7958-6103
# RA Dec (J2000): 17 09 00.4  +34 54 16
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 10690.9  
# Integration time [seconds]: 817.0   
# Date(s) of observations (UT): 2017-05-31 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Mon Feb 11 19:59:15 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       8230.5892     0.105413 -0.000130658
       8987.1977   0.00202584   0.00722905
       8992.3226   0.00369950   0.00901564
       8997.4476   0.00444427   0.00987048
       9002.5728   0.00233266   0.00786615
       9007.6982  0.000727530   0.00636557
       9012.8237   0.00148401   0.00722394
       9017.9495   0.00193796   0.00777717
       9023.0753   0.00162411   0.00756005
       9028.2014 -0.000171187   0.00585900
       9033.3276 -0.000988167   0.00513384
       9038.4540 -0.000180255   0.00603119
       9043.5806 -0.000883494   0.00541508
       9048.7073  -0.00125398   0.00512946
       9053.8342 -0.000139461   0.00632663
       9058.9613 -0.000216149   0.00633044
       9064.0885  0.000215568   0.00684055
       9069.2159   0.00104725   0.00774857
       9074.3435 -6.21373e-05   0.00671353
       9079.4713  0.000161367   0.00700943
       9084.5992   0.00110871   0.00802726
       9089.7273  2.41246e-05   0.00701131
       9094.8556  -0.00134152   0.00571250
       9099.9840  -0.00136852   0.00575056
       9105.1126 -0.000149336   0.00703310
       9110.2414  0.000785945   0.00803007
       9115.3703   0.00111020   0.00841438
       9120.4995  0.000544170   0.00790682
       9125.6287 -0.000626423   0.00679316
       9130.7582 -0.000531253   0.00694376
       9135.8878 -0.000260227   0.00726876
       9141.0176 -0.000613202   0.00696834
       9146.1476 -0.000435379   0.00719734
       9151.2777  0.000833945   0.00851650
       9156.4081   0.00147527   0.00920637
       9161.5385  0.000352386   0.00813075
       9166.6692  0.000432156   0.00825657
       9171.8000   0.00121838   0.00908764
       9176.9310  5.84751e-05   0.00797143
       9182.0622  -0.00114198   0.00681354
       9187.1935 -0.000782636   0.00721437
       9192.3250  -0.00115464   0.00688280
       9197.4567  -0.00219680   0.00588004
       9202.5885  -0.00154551   0.00656974
       9207.7205 -0.000797691   0.00735501
       9212.8527 -0.000475798   0.00771343
       9217.9851  0.000283992   0.00850884
       9223.1176   0.00131766   0.00957726
       9228.2503   0.00216569    0.0104592
       9233.3832   0.00112898   0.00945559
       9238.5162  0.000747272   0.00910619
       9243.6494   0.00113211   0.00952259
       9248.7828 -0.000710020   0.00771127
       9253.9163  -0.00174206   0.00670934
       9259.0500  -0.00141552   0.00706531
       9264.1839  -0.00181666   0.00669294
       9269.3180  -0.00129418   0.00724357
       9274.4522  0.000565177   0.00913045
       9279.5866   0.00160676    0.0101990
       9284.7212   0.00113653   0.00975513
       9289.8559 -0.000442362   0.00820207
       9294.9909  -0.00213722   0.00653252
       9300.1259 -0.000952995   0.00774156
       9305.2612   0.00158025    0.0102991
       9310.3966   0.00117810   0.00992086
       9315.5322 -0.000492299   0.00827389
       9320.6680 -0.000893860   0.00789534
       9325.8039  0.000147543   0.00895935
       9330.9400  0.000668224   0.00950225
       9336.0763 -0.000423812   0.00843207
       9341.2128  -0.00117369   0.00770370
       9346.3494  -0.00133790   0.00756065
       9351.4862 -0.000317895   0.00860150
       9356.6231  0.000999921   0.00993987
       9361.7603   0.00131952    0.0102797
       9366.8976   0.00169134    0.0106715
       9372.0350   0.00140073    0.0104006
       9377.1727 -0.000138158   0.00888124
       9382.3105  -0.00141590   0.00762275
       9387.4485  -0.00131805   0.00773962
       9392.5866  -0.00105400   0.00802250
       9397.7250 -0.000532944   0.00856219
       9402.8635  0.000666469   0.00978006
       9408.0021  0.000500922   0.00963280
       9413.1410 -0.000627916   0.00852208
       9418.2800 -0.000549891   0.00861809
       9423.4192  -0.00101043   0.00817539
       9428.5585  -0.00122252   0.00798101
       9433.6980  0.000307489   0.00952862
       9438.8377  0.000873787    0.0101124
       9443.9776 -0.000195217   0.00906079
       9449.1176  -0.00157244   0.00770087
       9454.2579  -0.00140335   0.00788718
       9459.3982 -1.93769e-05   0.00928830
       9464.5388   0.00135030    0.0106751
       9469.6795   0.00185928    0.0112011
       9474.8204  0.000991385    0.0103501
       9479.9614   0.00107423    0.0104499
       9485.1027   0.00150426    0.0108968
       9490.2441  0.000847700    0.0102571
       9495.3857  0.000620212    0.0100465
       9500.5274  0.000547671   0.00999072
       9505.6693 -0.000480286   0.00897956
       9510.8114  -0.00103733   0.00843930
       9515.9537  3.76024e-05   0.00953101
       9521.0961  0.000318533   0.00982872
       9526.2387  0.000173812   0.00970079
       9531.3815   0.00131523    0.0108590
