################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 9485-3701
# RA Dec (J2000): 07 58 07.7  +36 49 54
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 11761.6  
# Integration time [seconds]: 1794.1  
# Date(s) of observations (UT): 2017-07-08 
####################################################################################
# ASCII Table
# Generated by David V. Stark  Tue Mar 12 21:13:18 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       9284.3225 -0.000914904    0.0509427
       10004.859  -0.00580715    0.0589470
       10010.018  -0.00484580    0.0597867
       10015.177  -0.00505345    0.0594572
       10020.336  -0.00539616    0.0589925
       10025.495  -0.00499495    0.0592716
       10030.655  -0.00489012    0.0592543
       10035.814  -0.00450496    0.0595173
       10040.974  -0.00419642    0.0597037
       10046.134  -0.00440207    0.0593759
       10051.294  -0.00394089    0.0597150
       10056.455  -0.00411447    0.0594195
       10061.615  -0.00445962    0.0589525
       10066.776  -0.00466259    0.0586278
       10071.937  -0.00495668    0.0582121
       10077.098  -0.00397755    0.0590699
       10082.259  -0.00297149    0.0599549
       10087.420  -0.00253187    0.0602737
       10092.582  -0.00248396    0.0602010
       10097.743  -0.00324278    0.0593220
       10102.905  -0.00323685    0.0592080
       10108.067  -0.00276849    0.0595568
       10113.230  -0.00276884    0.0594373
       10118.392  -0.00178111    0.0603063
       10123.554 -0.000273591    0.0616955
       10128.717 -0.000955914    0.0608953
       10133.880  -0.00234576    0.0593881
       10139.043  -0.00148476    0.0601322
       10144.206 -0.000985949    0.0605147
       10149.370  -0.00181774    0.0595671
       10154.533  -0.00150924    0.0597603
       10159.697  -0.00114008    0.0600148
       10164.861 -0.000792141    0.0602487
       10170.025  0.000267461    0.0611949
       10175.189  0.000279589    0.0610942
       10180.354  0.000417107    0.0611196
       10185.519  0.000787401    0.0613784
       10190.683 -0.000372830    0.0601074
       10195.848  -0.00135227    0.0590179
       10201.013  -0.00113144    0.0591295
       10206.179 -0.000216676    0.0599356
       10211.344 -7.61066e-05    0.0599684
       10216.510 -0.000957715    0.0589797
       10221.676 -0.000373106    0.0594581
       10226.842  0.000958980    0.0606847
       10232.008  0.000657541    0.0602786
       10237.174 -0.000502643    0.0590146
       10242.341 -0.000593286    0.0588210
       10247.507  0.000713149    0.0600253
       10252.674   0.00164383    0.0608548
       10257.841  0.000750625    0.0598612
       10263.009 -0.000434000    0.0585771
       10268.176 -0.000190501    0.0587220
       10273.343  0.000274251    0.0590891
       10278.511 -8.00751e-05    0.0586380
       10283.679  0.000242673    0.0588649
       10288.847  0.000286140    0.0588135
       10294.015 -0.000610371    0.0578231
       10299.184 -0.000366423    0.0579741
       10304.352  0.000734751    0.0589833
       10309.521   0.00119497    0.0593525
       10314.690  0.000492938    0.0585604
       10319.859 -0.000689571    0.0572889
       10325.028 -0.000540803    0.0573496
       10330.198  0.000850655    0.0586540
       10335.367  0.000783776    0.0585011
       10340.537  9.75806e-05    0.0577299
       10345.707  0.000685853    0.0582342
       10350.877   0.00106107    0.0585265
       10356.048   0.00136089    0.0587444
       10361.218   0.00218299    0.0594856
       10366.389   0.00190060    0.0591234
       10371.560   0.00142423    0.0585683
       10376.731  0.000984667    0.0580510
       10381.902 -0.000131691    0.0568579
       10387.073 -0.000478847    0.0564351
       10392.245 -0.000598161    0.0562413
       10397.416 -0.000250742    0.0565152
       10402.588  0.000723090    0.0574166
       10407.760  0.000613200    0.0572353
       10412.932 -7.20960e-05    0.0564797
       10418.105 -0.000440439    0.0560422
       10423.277 -0.000129211    0.0562853
       10428.450  0.000874912    0.0572223
       10433.623   0.00188622    0.0581676
       10438.796   0.00219818    0.0584146
       10443.969  0.000880432    0.0570330
       10449.143 -0.000120851    0.0559690
       10454.316   0.00114246    0.0571706
       10459.490   0.00228450    0.0582520
       10464.664   0.00234793    0.0582559
       10469.838   0.00217775    0.0580272
       10475.012   0.00127895    0.0570710
       10480.187  0.000990093    0.0567258
       10485.361   0.00136548    0.0570460
       10490.536   0.00176388    0.0573901
       10495.711   0.00231579    0.0578889
       10500.886   0.00190396    0.0574250
       10506.062   0.00103916    0.0565092
       10511.237  0.000266180    0.0556863
       10516.413  0.000549953    0.0559211
       10521.588   0.00151956    0.0568429
       10526.764   0.00110812    0.0563846
       10531.941  0.000754793    0.0559855
       10537.117   0.00154672    0.0567327
       10542.294  0.000985224    0.0561275
       10547.470  2.37692e-05    0.0551234
       10552.647  0.000464612    0.0555226
       10557.824  2.87398e-05    0.0550461
       10563.001 -0.000877234    0.0541006
       10568.179 -0.000918805    0.0540204
       10573.356 -0.000340277    0.0545613
       10578.534  0.000714981    0.0555800
       10583.712  0.000115377    0.0549448
       10588.890  -0.00155013    0.0532447
       10594.068 -0.000930974    0.0538303
       10599.247  0.000481114    0.0552098
       10604.425  0.000945341    0.0556423
       10609.604   0.00115764    0.0558239
       10614.783  0.000491176    0.0551277
       10619.962  -0.00139874    0.0532091
       10625.141  -0.00229537    0.0522846
       10630.321 -0.000973323    0.0535798
       10635.500 -0.000526673    0.0540004
       10640.680  -0.00179499    0.0527071
       10645.860  -0.00306429    0.0514137
       10651.040  -0.00333608    0.0511187
       10656.221  -0.00257844    0.0518540
       10661.401  -0.00217661    0.0522345
       10666.582  -0.00183494    0.0525556
       10671.763  -0.00141334    0.0529576
       10676.944  -0.00130580    0.0530464
       10682.125  -0.00144374    0.0528905
       10687.306  -0.00227003    0.0520472
       10692.488  -0.00261087    0.0516901
       10697.669  -0.00200709    0.0522786
       10702.851 -0.000939594    0.0533315
       10708.033  2.56922e-05    0.0542831
       10713.215 -0.000650523    0.0535940
       10718.398  -0.00151863    0.0527138
       10723.580 -0.000436440    0.0537847
       10728.763   0.00103594    0.0552466
       10733.946  0.000395105    0.0545960
       10739.129  -0.00152607    0.0526658
       10744.312  -0.00168299    0.0525007
       10749.496 -0.000886207    0.0532900
       10754.679 -0.000951331    0.0532182
       10759.863 -0.000515983    0.0536475
       10765.047 -4.67397e-05    0.0541115
       10770.231 -0.000252547    0.0539011
       10775.416 -0.000562852    0.0535869
       10780.600 -0.000836002    0.0533106
       10785.785 -0.000758306    0.0533858
       10790.970 -0.000337503    0.0538048
       10796.155  0.000414987    0.0545561
       10801.340  0.000113092    0.0542537
       10806.525 -0.000448281    0.0536924
       10811.711  0.000122350    0.0542638
       10816.896  0.000716871    0.0548597
       10822.082  0.000946523    0.0550914
       10827.268  0.000798253    0.0549457
       10832.454  0.000511159    0.0546618
       10837.641  0.000474718    0.0546291
       10842.827   0.00144079    0.0555994
       10848.014   0.00226884    0.0564324
       10853.201   0.00187193    0.0560409
       10858.388   0.00156269    0.0557376
       10863.575   0.00149630    0.0556777
       10868.763   0.00110834    0.0552967
       10873.950  0.000412330    0.0546082
       10879.138  0.000630177    0.0548341
       10884.326  0.000888090    0.0551005
       10889.514 -0.000184145    0.0540372
       10894.702 -0.000550940    0.0536798
       10899.891 -0.000442846    0.0537977
       10905.079  -0.00111916    0.0531317
       10910.268 -0.000950741    0.0533109
       10915.457 -0.000206479    0.0540663
       10920.646 -0.000253605    0.0540307
       10925.836 -0.000357812    0.0539385
       10931.025 -0.000425741    0.0538829
       10936.215 -0.000281787    0.0540396
       10941.405 -0.000220530    0.0541139
       10946.595  -0.00104221    0.0533057
       10951.785  -0.00208797    0.0522737
       10956.975  -0.00263816    0.0517376
       10962.166  -0.00197293    0.0524173
       10967.356  -0.00123020    0.0531748
       10972.547  -0.00107970    0.0533403
       10977.738 -0.000543509    0.0538919
       10982.929 -0.000756945    0.0536940
       10988.121  -0.00165604    0.0528108
       10993.312  -0.00272525    0.0517578
       10998.504  -0.00365182    0.0508476
       11003.696  -0.00327667    0.0512394
       11008.888  -0.00297813    0.0515548
       11014.080  -0.00377949    0.0507705
       11019.273  -0.00385415    0.0507131
       11024.466  -0.00251005    0.0520747
       11029.658  -0.00153820    0.0530642
       11034.851  -0.00183669    0.0527835
       11040.044  -0.00213957    0.0524986
       11045.238  -0.00192758    0.0527288
       11050.431  -0.00236018    0.0523145
       11055.625  -0.00249263    0.0522004
       11060.819  -0.00164604    0.0530656
       11066.013  -0.00131922    0.0534111
       11071.207 -0.000845138    0.0539039
       11076.401 -0.000277004    0.0544909
       11081.596 -0.000610432    0.0541764
       11086.790 -0.000483294    0.0543226
       11091.985  3.74854e-05    0.0548624
       11097.180  0.000563963    0.0554080
       11102.376  0.000933210    0.0557964
       11107.571  5.90880e-05    0.0549415
       11112.767 -0.000292254    0.0546094
       11117.962  0.000143074    0.0550640
       11123.158 -6.99894e-05    0.0548702
       11128.354  9.06393e-05    0.0550500
       11133.551   0.00129278    0.0562714
       11138.747   0.00206704    0.0570649
       11143.944   0.00167396    0.0566910
       11149.140   0.00184752    0.0568837
       11154.337   0.00168057    0.0567358
       11159.534   0.00128140    0.0563556
       11164.732   0.00307995    0.0581731
       11169.929   0.00412251    0.0592346
       11175.127   0.00273019    0.0578610
       11180.325   0.00168394    0.0568335
       11185.523   0.00137018    0.0565383
       11190.721   0.00165684    0.0568434
       11195.919   0.00265706    0.0578620
       11201.118   0.00365071    0.0588739
       11206.316   0.00474888    0.0599901
       11211.515   0.00536894    0.0606281
       11216.714   0.00467979    0.0599568
       11221.914   0.00363806    0.0589327
       11227.113   0.00399108    0.0593031
       11232.312   0.00526994    0.0605993
       11237.512   0.00451894    0.0598654
       11242.712   0.00215940    0.0575227
       11247.912  0.000971714    0.0563517
       11253.112  0.000596088    0.0559926
       11258.313  0.000888340    0.0563011
       11263.514   0.00150608    0.0569349
       11268.714   0.00170776    0.0571524
       11273.915   0.00245037    0.0579105
       11279.116   0.00290881    0.0583843
       11284.318   0.00250224    0.0579928
       11289.519   0.00148840    0.0569938
       11294.721  0.000540421    0.0560604
       11299.923  0.000334169    0.0558684
       11305.125  0.000211644    0.0557599
       11310.327  0.000167564    0.0557295
       11315.529 -0.000773139    0.0548022
       11320.732  -0.00196683    0.0536216
       11325.934  -0.00226648    0.0533348
       11331.137  -0.00209310    0.0535207
       11336.340  -0.00144179    0.0541842
       11341.543  -0.00124427    0.0543936
       11346.747  -0.00184422    0.0538052
       11351.950  -0.00246319    0.0531974
       11357.154  -0.00195166    0.0537198
       11362.358  -0.00105980    0.0546222
       11367.562  -0.00100147    0.0546907
       11372.766  -0.00146078    0.0542412
       11377.971  -0.00171109    0.0540003
       11383.175  -0.00129049    0.0544300
       11388.380  -0.00108661    0.0546426
       11393.585 -0.000863983    0.0548736
       11398.790 -0.000510701    0.0552349
       11403.996 -0.000132755    0.0556204
       11409.201 -0.000291419    0.0554689
       11414.407  -0.00183564    0.0539315
       11419.613  -0.00204078    0.0537328
       11424.819 -0.000467355    0.0553122
       11430.025  0.000356516    0.0561417
       11435.231 -0.000174432    0.0556160
       11440.438  -0.00109317    0.0547020
       11445.644 -0.000535964    0.0552636
       11450.851  0.000778167    0.0565817
       11456.058  0.000467892    0.0562750
       11461.265 -0.000568978    0.0552412
       11466.473 -0.000139002    0.0556739
       11471.680  0.000683872    0.0564990
       11476.888  0.000465248    0.0562822
       11482.096  0.000687947    0.0565063
       11487.304   0.00168163    0.0575009
       11492.512   0.00175258    0.0575724
       11497.721   0.00135330    0.0571732
       11502.929   0.00100291    0.0568224
       11508.138 -8.05002e-05    0.0557382
       11513.347 -0.000842963    0.0549744
       11518.556 -0.000691460    0.0551242
       11523.766 -0.000346122    0.0554674
       11528.975  0.000360729    0.0561716
       11534.185   0.00128271    0.0570905
       11539.395   0.00135833    0.0571626
       11544.605  0.000987333    0.0567876
       11549.815   0.00140728    0.0572030
       11555.025   0.00140576    0.0571966
       11560.236  0.000417735    0.0562032
       11565.446 -0.000319901    0.0554597
