################################################################################
# HI-MaNGA: HI Followup for the MaNGA Survey
# Observed under code: AGBT17A_012
# Masters, K.L. et al. in prep.
################################################################################
# Telescope:   Robert C. Bryd Green Bank Telescope
# Beam Size FWHM [arcminutes]: 9.0 
# Object (MaNGA plate-ifu format): 8547-3702
# RA Dec (J2000): 14 32 18.0  +53 40 38
# Rest Frequency [MHz]:  1420.4058
# Central velocity [km/s]: 12855.9  
# Integration time [seconds]: 775.8   
# Date(s) of observations (UT): 2018-01-11 
####################################################################################
# ASCII Table
# Generated by D.V.Stark  Wed Sep 18 13:50:28 2019
# The spectrum is baselined and Hanning smoothed
# Columns are: Velocity of HI (km/s), Flux (Jy), Pre-baseline subtracted flux (Jy)
####################################################################################
# vHI,fHI,fBHI
       11055.768     0.153232   -0.0201196
       11060.961     0.152907   -0.0189445
       11066.155     0.151926   -0.0184347
       11071.349     0.151138   -0.0177414
       11076.543     0.150957   -0.0164513
       11081.737     0.149920   -0.0160257
       11086.932     0.147261   -0.0172318
       11092.126     0.145467   -0.0175829
       11097.321     0.143342   -0.0182738
       11102.516     0.140541   -0.0196496
       11107.711     0.139259   -0.0195155
       11112.906     0.137308   -0.0200591
       11118.102     0.135204   -0.0207658
       11123.297     0.132865   -0.0217162
       11128.493     0.130611   -0.0225910
       11133.689     0.131657   -0.0201744
       11138.885     0.132673   -0.0177963
       11144.082     0.130766   -0.0183508
       11149.278     0.128524   -0.0192496
       11154.475     0.127181   -0.0192574
       11159.672     0.127044   -0.0180687
       11164.869     0.126413   -0.0173819
       11170.066     0.123570   -0.0189169
       11175.263     0.121042   -0.0201452
       11180.461     0.119745   -0.0201513
       11185.658     0.118423   -0.0201910
       11190.856     0.116812   -0.0205281
       11196.054     0.114693   -0.0213816
       11201.252     0.112644   -0.0221747
       11206.451     0.112512   -0.0210579
       11211.649     0.112291   -0.0200393
       11216.848     0.109123   -0.0219760
       11222.047     0.107481   -0.0223958
       11227.246     0.108092   -0.0205704
       11232.445     0.107720   -0.0197360
       11237.645     0.106611   -0.0196473
       11242.845     0.104706   -0.0203628
       11248.044     0.103046   -0.0208416
       11253.244     0.102132   -0.0205826
       11258.444     0.101112   -0.0204371
       11263.645     0.100005   -0.0203875
       11268.845    0.0982701   -0.0209739
       11274.046    0.0965746   -0.0215289
       11279.247    0.0956920   -0.0212789
       11284.448    0.0953882   -0.0204581
